"ISO","Date","from","to","Duration","Type","bpm-Avg.","bpm-%","bpm-lo","bpm-hi","bpm-90%+-%","90%+-mins","bpm-80-90%-%","80-90%-mins","bpm-70-80%-%","70-80%-mins","bpm-60-70%-%","60-70%-mins","bpm-50-60%-%","50-60%-mins","rpe","Load","Cals","Cals/h","km","km/h","/km"
"2023-07-19T11:53:49-04:00","Wednesday, Jul 19","11:53 AM","12:23 PM","00:30:04","Running","155.9","81.4","110.0","164.0","","","79.5","00:23:53","19.6","00:05:54","0.7","00:00:11","0.2","00:00:03","8","241","289.8","578.3","3.81","7.6","00:07:53"
"2023-07-20T08:45:41-04:00","Thursday, Jul 20","8:45 AM","9:22 AM","00:36:56","Running","157.3","82.1","88.0","170.0","","","80.3","00:29:39","13.1","00:04:51","4.9","00:01:48","0.5","00:00:11","8","296","399.0","648.0","5.06","8.2","00:07:18"
"2023-07-21T08:50:54-04:00","Friday, Jul 21","8:50 AM","9:22 AM","00:31:31","Running","152.8","79.7","102.0","181.0","2.7","00:00:50","50.5","00:15:54","43.5","00:13:41","2.9","00:00:53","0.5","00:00:09","7","221","302.5","575.7","4.08","7.8","00:07:43"
"2023-07-24T10:59:38-04:00","Monday, Jul 24","10:59 AM","12:12 PM","01:12:34","Cycling","135.6","70.8","77.0","188.0","3.0","00:02:08","9.9","00:07:10","32.3","00:23:28","50.3","00:36:32","3.9","00:02:51","6","435","277.1","229.1","17.31","14.3","00:04:11"
"2023-07-25T13:38:31-04:00","Tuesday, Jul 25","1:38 PM","3:55 PM","02:16:52","Cycling","143.6","74.9","60.0","182.0","2.1","00:02:54","18.7","00:25:34","54.9","01:15:12","23.8","00:32:36","0.4","00:00:31","6","821","661.4","290.0","35.16","15.4","00:03:53"
"2023-07-26T09:07:07-04:00","Wednesday, Jul 26","9:07 AM","9:44 AM","00:37:24","Running","157.0","82.0","94.0","168.0","","","85.1","00:31:50","12.3","00:04:35","1.3","00:00:29","1.1","00:00:24","8","299","411.8","660.6","5.38","8.6","00:06:57"
"2023-07-26T17:25:26-04:00","Wednesday, Jul 26","5:25 PM","8:12 PM","02:46:52","Golf","127.3","66.4","99.0","165.0","","","2.5","00:04:12","22.4","00:37:25","61.7","01:42:54","13.4","00:22:20","6","959","1363.8","490.4","4.50","1.6","00:37:07"
"2023-07-28T08:44:26-04:00","Friday, Jul 28","8:44 AM","9:44 AM","01:00:31","Running","145.9","76.2","104.0","155.0","","","0.6","00:00:20","93.6","00:56:37","5.3","00:03:13","0.5","00:00:18","7","424","598.1","593.0","7.49","7.4","00:08:04"
"2023-07-29T15:10:47-04:00","Saturday, Jul 29","3:10 PM","3:41 PM","00:31:09","Running","150.5","78.6","91.0","163.0","","","44.0","00:13:41","49.7","00:15:29","5.0","00:01:32","0.8","00:00:14","7","218","364.6","702.1","4.31","8.3","00:07:13"
"2023-07-30T11:50:55-04:00","Sunday, Jul 30","11:50 AM","12:20 PM","00:29:48","Running","151.4","79.0","104.0","175.0","0.8","00:00:13","54.2","00:16:09","36.3","00:10:49","6.5","00:01:55","2.3","00:00:40","7","209","315.5","634.9","4.00","8.0","00:07:27"
"2023-07-31T09:58:29-04:00","Monday, Jul 31","9:58 AM","10:51 AM","00:53:18","Running","146.1","76.2","94.0","160.0","","","3.3","00:01:45","90.9","00:48:26","3.7","00:01:57","1.7","00:00:55","7","373","584.8","658.3","7.04","7.9","00:07:34"
"2023-07-31T14:54:55-04:00","Monday, Jul 31","2:54 PM","4:13 PM","01:18:20","Cycling","134.9","70.4","101.0","159.0","","","1.5","00:01:11","50.6","00:39:38","46.2","00:36:11","1.7","00:01:18","6","470","579.7","444.0","24.80","19.0","00:03:09"
"2023-08-01T16:04:41-04:00","Tuesday, Aug 1","4:04 PM","5:45 PM","01:41:01","Cycling","147.1","76.8","67.0","181.0","3.2","00:03:15","27.6","00:27:51","54.1","00:54:40","13.3","00:13:23","1.8","00:01:49","7","707","828.8","492.2","35.03","20.8","00:02:53"
"2023-08-02T08:56:13-04:00","Wednesday, Aug 2","8:56 AM","9:34 AM","00:37:55","Running","154.5","80.7","91.0","166.0","","","70.3","00:26:40","27.4","00:10:23","1.7","00:00:38","0.3","00:00:06","7","265","441.3","698.1","5.12","8.1","00:07:24"
"2023-08-08T09:40:42-04:00","Tuesday, Aug 8","9:40 AM","10:20 AM","00:39:24","Running","153.9","80.3","72.0","187.0","7.8","00:03:04","54.2","00:21:21","29.8","00:11:44","6.4","00:02:30","0.3","00:00:07","7","276","480.4","731.3","5.80","8.8","00:06:47"
"2023-08-09T09:01:33-04:00","Wednesday, Aug 9","9:01 AM","9:55 AM","00:53:36","Running","148.3","77.4","100.0","157.0","","","8.2","00:04:23","89.4","00:47:54","2.0","00:01:05","0.4","00:00:12","7","375","553.8","619.8","6.66","7.5","00:08:02"
"2023-08-10T19:16:32-04:00","Thursday, Aug 10","7:16 PM","7:53 PM","00:36:43","Walking","118.1","61.6","102.0","134.0","","","","","","","73.0","00:26:49","27.0","00:09:54","5","189","169.5","276.9","3.12","5.1","00:11:46"
"2023-08-11T08:17:10-04:00","Friday, Aug 11","8:17 AM","8:56 AM","00:39:03","Running","148.2","77.4","107.0","161.0","","","15.8","00:06:09","79.5","00:31:02","3.2","00:01:13","1.6","00:00:36","7","273","434.2","667.1","5.14","7.9","00:07:35"
"2023-08-13T19:56:55-04:00","Sunday, Aug 13","7:56 PM","8:24 PM","00:28:02","Walking","94.6","49.4","80.0","109.0","","","","","","","","","40.9","00:11:27","5","139","98.5","210.8","1.97","4.2","00:14:12"
"2023-08-14T09:36:00-04:00","Monday, Aug 14","9:36 AM","10:23 AM","00:47:58","Running","118.4","61.8","83.0","157.0","","","1.6","00:00:47","29.2","00:14:00","28.8","00:13:49","15.1","00:07:15","6","274","380.4","475.8","5.25","6.6","00:09:08"
"2023-08-15T09:24:16-04:00","Tuesday, Aug 15","9:24 AM","10:32 AM","01:08:11","Running","151.3","79.0","117.0","177.0","1.9","00:01:17","26.5","00:18:02","67.6","00:46:06","4.0","00:02:44","","","7","477","792.8","697.6","9.22","8.1","00:07:23"
"2023-08-16T10:27:13-04:00","Wednesday, Aug 16","10:27 AM","12:03 PM","01:36:28","Cycling","140.9","73.6","97.0","185.0","1.9","00:01:47","6.1","00:05:53","66.5","01:04:08","23.7","00:22:52","1.8","00:01:46","6","579","713.8","443.9","31.50","19.6","00:03:03"
"2023-08-16T13:39:51-04:00","Wednesday, Aug 16","1:39 PM","2:22 PM","00:43:01","Walking","119.6","62.4","96.0","132.0","","","","","","","82.3","00:35:25","17.7","00:07:36","5","222","200.9","280.1","3.14","4.4","00:13:40"
"2023-08-17T09:13:25-04:00","Thursday, Aug 17","9:13 AM","9:54 AM","00:41:24","Running","157.9","82.4","96.0","189.0","29.0","00:11:59","16.4","00:06:46","49.9","00:20:39","1.9","00:00:47","2.9","00:01:10","8","331","498.9","723.0","6.12","8.9","00:06:45"
"2023-08-18T09:03:47-04:00","Friday, Aug 18","9:03 AM","9:53 AM","00:49:30","Running","139.7","72.9","94.0","162.0","","","1.5","00:00:43","78.6","00:38:56","18.1","00:08:58","1.7","00:00:50","6","310","550.8","667.5","6.64","8.0","00:07:27"
"2023-08-18T15:34:15-04:00","Friday, Aug 18","3:34 PM","4:24 PM","00:49:51","Running","148.9","77.7","94.0","170.0","","","24.4","00:12:09","70.8","00:35:16","2.7","00:01:19","2.0","00:00:59","7","349","591.6","712.0","7.09","8.5","00:07:02"
"2023-08-20T15:16:32-04:00","Sunday, Aug 20","3:16 PM","4:31 PM","01:14:38","Walking","113.3","59.1","79.0","163.0","","","2.1","00:01:34","1.7","00:01:14","35.7","00:26:37","56.3","00:42:01","5","394","405.7","326.2","6.42","5.2","00:11:37"
"2023-08-21T10:28:54-04:00","Monday, Aug 21","10:28 AM","11:26 AM","00:57:06","Running","149.2","77.9","98.0","166.0","","","36.5","00:20:51","54.9","00:31:21","8.0","00:04:34","0.6","00:00:18","7","400","690.5","725.4","8.25","8.7","00:06:55"
"2023-08-21T16:18:22-04:00","Monday, Aug 21","4:18 PM","4:56 PM","00:38:10","Walking","111.5","58.2","85.0","122.0","","","","","","","39.3","00:15:00","60.0","00:22:55","5","201","203.6","320.0","3.45","5.4","00:11:04"
"2023-08-22T10:02:41-04:00","Tuesday, Aug 22","10:02 AM","11:24 AM","01:21:26","Running","160.2","83.6","85.0","191.0","30.0","00:24:27","36.0","00:29:19","26.6","00:21:41","6.6","00:05:24","0.4","00:00:18","8","652","1008.3","742.9","12.61","9.3","00:06:27"
"2023-08-22T14:38:10-04:00","Tuesday, Aug 22","2:38 PM","3:24 PM","00:45:53","Walking","115.5","60.3","94.0","129.0","","","","","","","58.0","00:26:37","41.8","00:19:10","5","235","207.9","271.8","3.83","5.0","00:11:59"
"2023-08-24T09:36:17-04:00","Thursday, Aug 24","9:36 AM","10:15 AM","00:39:25","Running","147.0","76.7","94.0","218.0","13.3","00:05:14","3.0","00:01:11","63.3","00:24:56","15.8","00:06:12","4.4","00:01:43","7","276","417.2","635.0","5.18","7.9","00:07:36"
"2023-08-24T13:03:07-04:00","Thursday, Aug 24","1:03 PM","2:11 PM","01:08:07","Running","153.0","79.8","110.0","171.0","","","56.1","00:38:13","39.0","00:26:35","4.6","00:03:08","0.2","00:00:09","7","477","847.7","746.6","10.05","8.9","00:06:46"
"2023-08-25T10:21:57-04:00","Friday, Aug 25","10:21 AM","11:06 AM","00:44:58","Running","143.0","74.6","82.0","151.0","","","","","96.5","00:43:23","2.0","00:00:53","0.3","00:00:08","6","291","557.5","743.7","6.61","8.8","00:06:48"
"2023-08-28T10:19:14-04:00","Monday, Aug 28","10:19 AM","11:16 AM","00:57:14","Running","136.1","71.0","84.0","150.0","","","","","71.5","00:40:54","26.5","00:15:11","1.5","00:00:52","6","360","647.2","678.4","8.01","8.4","00:07:08"
"2023-08-28T15:07:07-04:00","Monday, Aug 28","3:07 PM","4:03 PM","00:56:40","Walking","107.0","55.8","80.0","119.0","","","","","","","11.7","00:06:36","74.0","00:41:57","5","295","279.3","295.6","4.75","5.0","00:11:56"
"2023-08-29T09:40:34-04:00","Tuesday, Aug 29","9:40 AM","11:01 AM","01:20:37","Running","152.1","79.4","84.0","177.0","4.2","00:03:23","33.1","00:26:40","54.8","00:44:10","6.0","00:04:48","1.7","00:01:19","7","564","1032.0","768.0","12.61","9.4","00:06:23"
"2023-08-29T14:10:52-04:00","Tuesday, Aug 29","2:10 PM","3:09 PM","00:58:48","Walking","114.6","59.8","99.0","126.0","","","","","","","48.0","00:28:13","52.0","00:30:34","5","302","269.4","274.9","4.70","4.8","00:12:30"
"2023-08-30T10:55:19-04:00","Wednesday, Aug 30","10:55 AM","11:41 AM","00:46:23","Running","143.3","74.8","79.0","163.0","","","18.4","00:08:32","62.8","00:29:08","7.1","00:03:16","10.9","00:05:02","6","300","577.6","746.9","7.09","9.2","00:06:32"
"2023-08-30T14:06:53-04:00","Wednesday, Aug 30","2:06 PM","3:01 PM","00:54:25","Walking","113.3","59.1","89.0","127.0","","","","","","","61.1","00:33:15","30.6","00:16:37","5","279","244.0","269.0","4.47","4.9","00:12:10"
"2023-08-31T09:43:16-04:00","Thursday, Aug 31","9:43 AM","11:09 AM","01:25:56","Running","148.9","77.7","74.0","168.0","","","24.0","00:20:35","71.2","01:01:10","4.5","00:03:50","0.3","00:00:15","7","602","1009.6","704.8","12.20","8.5","00:07:02"
"2023-09-02T10:14:15-04:00","Saturday, Sep 2","10:14 AM","11:29 AM","01:15:02","Running","145.1","75.8","122.0","159.0","","","7.8","00:05:50","88.0","01:06:04","4.2","00:03:08","","","6","472","854.4","683.1","10.20","8.2","00:07:21"
"2023-09-04T10:36:58-04:00","Monday, Sep 4","10:36 AM","11:19 AM","00:42:35","Running","146.0","76.2","118.0","164.0","","","22.9","00:09:44","57.2","00:24:22","19.9","00:08:27","","","7","298","527.6","743.4","6.59","9.3","00:06:27"
"2023-09-08T10:27:32-04:00","Friday, Sep 8","10:27 AM","11:16 AM","00:49:18","Running","154.4","80.6","89.0","169.0","","","72.7","00:35:50","17.8","00:08:48","7.9","00:03:53","0.4","00:00:11","7","345","665.9","810.1","8.07","9.8","00:06:06"
"2023-09-09T11:15:43-04:00","Saturday, Sep 9","11:15 AM","12:53 PM","01:37:45","Running","151.2","78.9","93.0","213.0","12.6","00:12:19","9.4","00:09:10","68.9","01:07:21","9.0","00:08:50","","","7","684","930.9","571.4","11.05","6.8","00:08:50"
"2023-09-12T13:22:52-04:00","Tuesday, Sep 12","1:22 PM","2:10 PM","00:47:38","Running","143.7","75.0","103.0","156.0","","","1.7","00:00:47","90.4","00:43:04","7.3","00:03:28","0.6","00:00:16","6","302","554.3","698.2","6.63","8.3","00:07:11"
"2023-09-13T12:38:36-04:00","Wednesday, Sep 13","12:38 PM","1:55 PM","01:17:05","Running","156.3","81.6","130.0","190.0","9.7","00:07:27","47.1","00:36:16","42.8","00:33:00","0.5","00:00:20","","","8","617","967.2","752.8","12.76","9.9","00:06:02"
